case_2b_dsmc_tr_tb,,case_2b_hy2foam_tr_tb,
X,Y,X,Y
1.0741525423728813,0.04026845637583887,1.0614406779661016,-0.0022371364653241965
1.1264124293785311,0.15659955257270708,1.1257062146892656,0.16107382550335592
1.1716101694915255,0.2796420581655482,1.1730225988700564,0.2796420581655482
1.213276836158192,0.40044742729306493,1.2266949152542372,0.41834451901566005
1.2549435028248588,0.5190156599552573,1.2733050847457625,0.5503355704697988
1.29590395480226,0.639821029082774,1.314265536723164,0.6644295302013423
1.3375706214689265,0.7606263982102909,1.3700564971751412,0.8232662192393737
1.3806497175141244,0.8769574944071589,1.4286723163841808,0.9977628635346757
1.4138418079096045,0.9574944071588367,,
