hy2foam_t_tr,,hy2foam_t_v,
X,Y,X,Y
9.93692748961568e-10,2.99212544811777,1.006334763135324e-9,9.992116801890065
2.9496362695018717e-9,2.999255343638916,2.965977096278446e-9,9.991377549421298
1.0093595447602257e-8,2.990539946112385,9.935159531810166e-9,9.966928719418021
2.9329000629548663e-8,2.9976844321427834,2.9913914083881314e-8,9.989796910918997
1.0107885571072652e-7,2.9810901596201695,9.878971919676008e-8,9.988979842400884
2.937052349842474e-7,2.9882346456505697,3.016967175565988e-7,9.964594237937701
0.0000010050783649054052,3.0110152940960297,9.892404265057357e-7,9.908663952471686
0.0000029624768388106085,3.096890168050244,0.000003063828040150604,9.671670310691384
0.000009927139675776055,3.5448820276268593,0.000010109508155327827,8.584239656139525
0.000019944248314047307,4.5286568409494,0.000020254232790285515,6.0483313320918795
0.000038652514556295794,4.953401155784489,0.00004239636986710452,4.961211941737396
0.00009952333148691289,4.952754309874316,0.00010023544796814103,4.9763714808502275
