htr_nonpreferential_t_tr,,htr_nonpreferential_t_v,,htr_preferential_t_tr,,htr_preferential_t_v,
X,Y,X,Y,X,Y,X,Y
9.873764363780166e-11,19.75022301516503,9.93668172167154e-11,1.6235504014272948,1e-10,19.714540588760034,1e-10,1.659232827832291
2.888614953776796e-10,19.35771632471008,3.097665242480505e-10,2.87243532560214,3.177378595044056e-10,19.322033898305083,3.11740410858145e-10,2.87243532560214
8.94796214122385e-10,18.465655664585192,7.780983291945621e-10,4.781445138269401,9.236708571873847e-10,18.50133809099019,8.668242140342028e-10,5.102586975914363
2.6344481485700135e-9,16.770740410347905,1.8814070133608453e-9,7.814451382694022,2.4880669878258464e-9,16.770740410347905,1.834206701504566e-9,7.796610169491524
5.97794237281854e-9,14.80820695807315,3.6888971914196066e-9,10.15165031222123,6.092949606858527e-9,14.897413024085637,3.6888971914196066e-9,9.884032114183764
1.2649372022502344e-8,12.7921498661909,7.418990715550816e-9,11.471900089206066,1.4091769060578594e-8,12.7921498661909,6.410568596420213e-9,11.061552185548617
2.5278926123106465e-8,10.936663693131132,1.5402322298358728e-8,11.828724353256021,3.238506906580727e-8,10.81177520071365,1.3308770346731858e-8,11.454058876003568
5.11641209878438e-8,9.402319357716323,4.3651583224016566e-8,10.990187332738625,8.668242140342029e-8,9.206066012488849,3.407326830874684e-8,10.70472792149866
2.1362652323301164e-7,7.975022301516503,1.160987613239854e-7,9.473684210526315,2.519876813095518e-7,8.08206958073149,7.830565081877969e-8,9.50936663693131
9.626053605897216e-7,7.404103479036573,2.78944139424825e-7,8.31400535236396,9.626053605897216e-7,7.475468331846566,2.1092979522563663e-7,8.367528991971453
,,9.687392507403276e-7,7.4576271186440675,,,9.749122271145516e-7,7.493309545049064
