williams_density,
X,Y
0.0008704102958451421,0.5611141251786818
0.11499794781312357,0.5632465124617279
0.2264128245167925,0.5618972585613934
0.3149186909406564,0.4215795705975872
0.42106157032396246,0.30042034448433486
0.5528662210040146,0.2921974439658628
0.6642810977076836,0.2908481900655283
0.6663804612938685,0.7457165906335359
0.6699092791870509,1.1485066212512207
0.7161495312993881,1.1156810665710553
0.7379428123923781,1.0758261821304058
0.7397543980487713,0.7424991390250462
0.7430213852025532,0.33799659384155223
0.8829663771589242,0.33848251395251183
0.9984549627539877,0.338883515985828
